                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2094,                 2.4619,                 1.6127,                0.04182,                0.27971,                0.02901,                0.00987,                 2.1888,                 5.1267,                 2.9462,             0.00047212,             0.00047212,             0.00047212
                      2,                 1.5809,                 2.5187,                 1.8873,                0.53215,                 0.1914,                0.12391,                0.04183,                  2.179,                 3.3956,                 3.0962,              0.0009015,              0.0009015,              0.0009015
                      3,                 1.6385,                 2.5731,                 1.9542,                0.43093,                0.12849,                0.04794,                0.01521,                 2.5054,                 5.9679,                 3.1616,              0.0012837,              0.0012837,              0.0012837
                      4,                 1.6522,                 2.5074,                 1.9626,                0.48159,                0.17425,                0.08817,                0.03561,                  2.139,                 3.7402,                 2.8857,              0.0012168,              0.0012168,              0.0012168
                      5,                  1.613,                  2.495,                 1.9284,                0.11413,                0.18859,                0.06837,                0.02789,                 2.1482,                 3.4164,                  2.799,              0.0012168,              0.0012168,              0.0012168
                      6,                 1.5534,                 2.4433,                 1.8743,                0.56901,                0.17426,                0.14715,                 0.0658,                 1.9233,                 2.9543,                 2.4621,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.4972,                 2.3687,                 1.8321,                0.63574,                0.22878,                0.22227,                0.11033,                 1.7371,                  2.763,                 2.3619,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.4153,                 2.2908,                 1.7752,                0.70219,                0.19858,                0.24612,                0.12883,                 1.7286,                 2.3584,                 2.3125,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.3713,                 2.2088,                 1.7424,                0.67731,                 0.2499,                0.27054,                0.14914,                 1.6493,                 2.3763,                 2.2743,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.3074,                 2.1214,                 1.6886,                0.69608,                0.25966,                0.30897,                0.18987,                 1.5196,                 2.1944,                 2.0958,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.3693,                 2.1435,                 1.8894,                0.72715,                0.24944,                0.33303,                0.19471,                  1.543,                 2.2815,                 2.1578,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.2746,                 2.0356,                 1.8097,                0.74293,                0.26001,                0.33302,                0.20652,                 1.3205,                 2.0275,                 1.9099,             0.00072164,             0.00072164,             0.00072164
                     13,                 1.2236,                  1.903,                 1.7611,                0.73679,                0.28959,                0.35188,                0.22784,                 1.3269,                 1.9925,                 1.8733,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.1736,                 1.8411,                 1.6974,                0.69016,                0.36414,                0.40508,                0.26912,                 1.2363,                 2.0027,                 1.8148,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.1511,                  1.801,                 1.6916,                0.71498,                0.28292,                0.34607,                 0.2325,                 1.3037,                 1.9624,                  1.835,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.0814,                 1.6971,                 1.6155,                0.82193,                0.28595,                 0.4104,                0.28261,                  1.203,                 1.8193,                 1.7507,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.0292,                 1.6294,                 1.5651,                0.78564,                0.31959,                0.42408,                0.29209,                 1.1177,                 1.7344,                 1.6716,             0.00036797,             0.00036797,             0.00036797
                     18,                0.95471,                 1.5007,                 1.5172,                0.81566,                0.34152,                0.46406,                0.33088,                 1.1853,                  1.661,                 1.7182,             0.00029723,             0.00029723,             0.00029723
                     19,                0.91255,                 1.4502,                 1.4632,                0.75571,                0.38849,                0.47178,                0.33415,                 1.0879,                 1.5836,                 1.6201,              0.0002265,              0.0002265,              0.0002265
                     20,                0.90438,                 1.4068,                 1.4686,                0.68645,                0.43806,                0.48695,                0.35215,                 1.0973,                 1.5781,                 1.6083,             0.00015576,             0.00015576,             0.00015576
